role,location,title,company,description,created
data analyst,Mumbai,Data Analyst,Amicon Hub Services,"We are seeking a Data Analyst with 1–2 years of experience to join our growing team at our Mumbai (BKC) location. The ideal candidate should be proficient in SQL, data modeling, and working with BI tools. This is an exciting opportunity for someone early in their career to work with a high-performin",2025-07-26T08:47:13Z
data analyst,Mumbai,Data Analyst,r3 Consultant,"Designation: Data Analyst Roles and Responsibilities: Data Analysis and Reporting: · Analyze large, complex datasets to extract meaningful insights and provide actionable recommendations. Develop and maintain regular reports, dashboards, and performance metrics to monitor business KPIs, insurance cl",2025-04-07T23:18:58Z
data analyst,Mumbai,Data Analyst,Qrata,"DATA ANALYST About: We allows customers to ""buy now and pay later"" for goods and services purchased online and offline portals. It's a rapidly growing organization opening up new avenues of payments for online and offline customers. Role: Define and continuously refine the analytics roadmap. Build, ",2024-01-07T15:07:43Z
data analyst,Mumbai,Data Analyst,Kyndryl,"Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward - always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our e",2025-08-01T10:22:41Z
data analyst,Mumbai,Data Analyst,Wissen Technology,"Description of Role: We are looking for a career-minded professional with global perspective to join the Mumbai based Data & Analytics Group (DAG). Key responsibilities: As part of the Data & Analytics Group (DAG) and reporting to the Head of the India DAG locally, the individual is responsible for ",2025-05-23T06:51:59Z
data analyst,Mumbai,Data Analyst,Morningstar,"Data Analysts Morningstar is looking for Data Analysts, an entry-level opportunity to join our Data and Operations group. This role will help you gain practical experience by working with diverse datasets, including public equity filings, private market transactions, ESG taxonomies, Managed Investme",2025-07-18T02:42:14Z
data analyst,Mumbai,Data Analyst,Karix,"Role- Data Analyst Location : Mumbai (Goregaon East) About the Role : Analyse sales data, including historical performance, trends, and market insights, to identify opportunities and challenges. What you'll be Responsible for? Work closely with Management and business strategy team to model, analyze",2025-07-20T07:58:47Z
data analyst,Mumbai,Data Analyst,Havas Media Network India,DEPARTMENT: Strategy PRIMARY LOCATION: Mumbai REPORTING TO: Head – Data & Analytics JOB SUMMARY: The Analyst Expert is responsible for placing data at the heart of our operations. S/He conducts cross analysis of complex data to monitor and optimize the performance of the marketing strategy for clien,2025-07-14T09:35:51Z
data analyst,Mumbai,Data Analyst,Wissen Technology,"Key qualifications 1. Bachelor’s Degree required and any other relevant academic course a plus. 2. Strong domain knowledge of investment data 3. 5 years of data management, data analytics, or data governance experience in financial services 4. Experience in data analysis, exploratory analysis using ",2025-05-23T06:51:59Z
data analyst,Mumbai,Data Analyst,Pluginlive,"About the company DCB Bank is a new generation private sector bank with 442 branches across India.It is a scheduled commercial bank regulated by the Reserve Bank of India. DCB Bank’s business segments are Retail banking, Micro SME, SME, mid-Corporate, Agriculture, Government, Public Sector, Indian B",2024-09-24T11:44:30Z
data analyst,Mumbai,Data Analyst,,"Acquire data from primary or secondary data sources and maintain databases/data systems Expertise in processing large datasets for data transformation like data cleansing, scrubbing, profiling Interpreting, filtering, cleaning and analyzing data using advanced Excel, Access and SQL. Provided the com",2024-05-10T07:39:12Z
data analyst,Mumbai,Data Analyst,,"Job description Conducting the Validation & Audit at MSO & local operators Digital Head-ends to ensure System has complying the TRAI Norms & also help to stop Revenue leakages. Technical support & activated on the trouble shooting at DTH, MSO local operator level to ensure for channels are running o",2024-05-10T07:38:59Z
data analyst,Mumbai,Data Analyst,,"1. MIS generation 2. Coordination and Administration 3. Secretarial support Job Description: 1. Preparing daily / weekly reports / MIS by gathering data from dashboards and by using advanced excel tools like, V lookup, H lookup, pivot table, formulas etc. 2. Coordination with various departments / d",2024-05-10T07:39:09Z
data analyst,Mumbai,Data Analyst,Impact Guru,"Experience - 2 years to 5 years. Location - Andheri (Mumbai) Job Responsibilities: Excellent problem solving and analytical skills - ability to develop hypotheses, understand and interpret data within the context of the product / business - solve problems and distill data into actionable recommendat",2021-07-28T21:11:50Z
data analyst,Mumbai,Data Analyst,Azent Overseas,"Data auditing, validating and monitoring all data for accuracy. Create daily, weekly, monthly and quarterly MIS report. Coordinating & collecting the data Updated the data in CRM Skills:- Microsoft Excel",2021-08-21T21:23:03Z
data analyst,Mumbai,Data Analyst,Ajanta Pharma Ltd,Job Title: Executive – (Sales Force Effectiveness) Department: Sales Force Effectiveness Location: Mumbai- Andheri (East) Experience Required: 5 – 7 years Industry: Pharmaceutical Job Summary: We are seeking an experienced and data-driven professional to join our pharmaceutical sales operations team,2025-07-20T07:58:14Z
data analyst,Mumbai,Data Analyst,Kotak Securities,"Job Responsibilties : Knowledge of TPP industry– MF, PMS / AIF, Unlisted, LI, Bonds, etc. Data Reporting of TPP– MF, PMS / AIF, Unlisted, LI, Bonds, etc. Income reconciliation, AUM validation Raising invoice for PMS AIF Following up with AMCs for Brokerage, transaction and AUM related concerns KRA i",2025-07-30T08:45:01Z
data analyst,Mumbai,Lead Data Analyst,Job Connect India,Lead Data Analyst SUMMARY : The Data Systems Analyst is responsible for coordinating with business platform stakeholders to document clear and actionable requirements for data solutions. This role is the key link between business needs and the technical data designs to meet these needs. A good Data ,2025-05-04T01:41:01Z
data analyst,Mumbai,Lead Data Analyst,Job Connect India,Lead Data Analyst SUMMARY : The Data Systems Analyst is responsible for coordinating with business platform stakeholders to document clear and actionable requirements for data solutions. This role is the key link between business needs and the technical data designs to meet these needs. A good Data ,2025-07-02T21:13:48Z
data analyst,Mumbai,Business Data Analyst,Digimind,"Job Description We are seeking for a Business Data Analyst with both Data Analysis and Business Analysis skills to support our cross-functional teams in delivering data-driven solutions. The ideal candidate will have a balanced skill set in Data Analysis (SQL, Excel) and business analysis (Requireme",2025-07-29T17:07:27Z
data analyst,Mumbai,Data Analyst (SQL),Merito,"About us :- Merito is a curated talent platform where we identify, assess, and connect candidates for matching job opportunities. We are working with the mission to change the way hiring is done. The company is founded by a team of alumni from IIM Ahmedabad, McKinsey with more than 2 decades of expe",2023-10-22T13:49:04Z
data analyst,Mumbai,LCM Data Analyst,ION Group,The Role: We are seeking a highly motivated and detail-oriented Leveraged Capital Markets Data Analyst to join our team in Mumbai. We are seeking a highly motivated and detail-oriented Leveraged Capital Markets Data Analyst to join our team in Mumbai. This newly formed team is responsible for helpin,2024-07-31T03:13:34Z
data analyst,Mumbai,Master Data Analyst,Verdantis,Description Verdantis project implementation and delivery team is responsible for end-to-end lifecycle of complex master data management projects. Our diversely experienced team of engineers is backed by our industry leading data management applications. We deliver to our client the best of automate,2025-06-07T10:04:27Z
data analyst,Mumbai,Business Data Analyst,Karix,Role- Senior Business Data Analyst Location- Mumbai About the Role- The position requires working closely with Senior Leadership team to achieve business objectives of setting up multiple lines of businesses. The candidate will be required to multi-task; help create feasibility reports & execute new,2025-07-20T07:59:17Z
data analyst,Mumbai,Data Analyst - SQL,Unnati,Want to join the trailblazing Fintech company which is leveraging software and technology to change the face of short-term financing in India Our client is an innovative Fintech company that is revolutionizing the business of short term finance. The company is an online lending startup that is drive,2021-08-21T21:23:15Z
data analyst,Mumbai,Credit Data Analyst,ION Group,"The Role: We are recruiting for a credit data analyst for Credit Rubric, a leveraged finance data service offering credit analytics for the European high yield market. The analyst will work as part of a team of 11 individuals, entering, reviewing and analysing the credit data of borrowersissuers/com",2025-03-24T16:57:11Z
data analyst,Mumbai,Risk Data Analyst,Sardine,"Who we are: We are a leader in fraud prevention and AML compliance. Our platform uses device intelligence, behavior biometrics, machine learning, and AI to stop fraud before it happens. Today, over 300 banks, retailers, and fintechs worldwide use Sardine to stop identity fraud, payment fraud, accoun",2025-05-15T01:58:03Z
data analyst,Mumbai,"Data Analyst, Senior",Private Limited,"Who we are. Newfold Digital is a leading web technology company serving millions of customers globally. Our customers know us through our robust portfolio of brands. We have some of the industry's most prominent and storied go-to-market brands, including Bluehost, HostGator, Domain.com, Network Solu",2025-05-12T01:49:27Z
data analyst,Mumbai,Senior Data Analyst,Impact Guru,"Job Responsibilities: Excellent problem solving and analytical skills - ability to develop hypotheses, understand and interpret data within the context of the product / business - solve problems and distill data into actionable recommendations.  Strong communication skills with the ability to confi",2023-07-06T14:16:47Z
data analyst,Mumbai,Data Analyst Associate - Data Management,Wissen Technology,"Job Title: Data Analyst Associate – Data Management Location: Mumbai, India Company: Wissen Technology About Us: Wissen Technology is a leading technology and consulting firm known for its strong commitment to excellence, innovation, and customer satisfaction. We are passionate about harnessing data",2025-05-23T06:51:56Z
data analyst,Mumbai,Data Analyst / ML Engineer,Talent Pro,"What You will do: ● Play the role of Data Analyst / ML Engineer ● Collection, cleanup, exploration and visualization of data ● Perform statistical analysis on data and build ML models ● Implement ML models using some of the popular ML algorithms ● Use Excel to perform analytics on large amounts of d",2025-04-25T04:45:08Z
data analyst,Mumbai,Senior Manager - Data Analyst,BSR & Co,"Description About KPMG in India KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws",2025-06-27T03:17:20Z
data analyst,Mumbai,"Data Analyst, Internal Audit",Envista Dentistry,"Job Description: Reporting to the Director of Internal Audit, the Data Analyst will be primarily responsible for developing data analytics strategy and executing the data analytics audits for the Internal Audit function. The data analytics audits involve identifying and creating computer assisted au",2025-06-11T02:58:59Z
data analyst,Mumbai,M&A Junior Data Analyst,ION Group,"Role: ION Analytics is looking for an analyst to join the M&A Insights team to source and explore cutting edge market trends and to produce regular periodic reports. You will support our private data operations by making connections in the M&A market, processing and analyzing data to generate weekly",2024-11-29T17:34:42Z
data analyst,Mumbai,"Data Analyst, Credit Risk",Cerberus Capital Management,"Since 1992, we've been a driving force in alternative investing, with approximately $65 billion in assets under management across credit, private equity, and real estate. Our work spans the capital structure—investing where others hesitate—and we bring together deep operational expertise and cross-a",2025-07-14T06:40:51Z
data analyst,Mumbai,Associate - Category Data Analyst,The Souled Store,"Roles and Responsibilities : Analyze category performance across sales channels (D2C, marketplaces, offline). Track KPIs like revenue, ASP, margin, sell-through, stock cover, and inventory turns. Conduct pricing, discount, and profitability analysis at SKU and category levels. Identify top-performin",2025-07-26T14:50:12Z
data analyst,Mumbai,Data Analyst - Youtube and Social Media,Cocoma Digital Pvt Ltd,"About Company Cocoma Digital Private Limited is a leading YouTube specialist, helping media companies to promote their films, web series, documentaries, digital products, and more on YouTube. Our focus is on YouTube video production and growth hacking to increase the visibility and engagement of our",2025-06-06T20:45:35Z
data analyst,Mumbai,Data Analyst at SBI Life Insurance,SBI Life Insurance Company Limited,SBI Life Insurance is looking for an experienced and resultoriented Data Analyst to join our team in Andheri Mumbai If you are passionate about data storytelling financial analysis and driving business insights we would love to connect with you Position Data Analyst Location Andheri Mumbai Experienc,2025-07-26T00:36:46Z
data analyst,Mumbai,Team Leader- Data Analyst & Project,WONDRx,About the company WonDRx (pronounced as Wonder-Rx) - spearheaded by two serial Entrepreneurs Mr. Pankaj Sindhu along with his Co-Founder Mr. Pankaj Agrawal; is a very unique and novel technology which has the capacity to change the way healthcare eco-system interacts with each-other. We are determin,2023-06-17T16:36:28Z
data analyst,Mumbai,Senior Associate Director - Data Analyst,BSR & Co,"Description About KPMG in India KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws",2025-07-06T21:05:38Z
data analyst,Mumbai,Economic Value Added Data Analyst,ISS STOXX,"Let’s be BrilliantTogether ISS STOXX is seeking to hire an EVA Data Analyst to join our ISS EVA Research Team in Mumbai . This is a techno-functional role that blends the domains of financial analysis, programming, and data analysis. You will primarily use the technologies such as Python/R/VBA/Excel",2025-07-12T02:44:56Z
data analyst,Mumbai,Client Data Analyst (ECM Alpha),ION Group,The Role: We are looking for a Client Data Analyst with a critical mindset to join our dynamic team and help us build and maintain our product with a high quality. Key Responsibilities: Analyse incoming emails and identify actionable data. Perform data cleansing and analysis based on client requests,2024-10-25T17:04:11Z
data analyst,Mumbai,Data Analyst in C#/.NET and SQL,ISS STOXX,Let’s be BrilliantTogether ISS STOXX is actively hiring a Data Analyst in C#/.NET and SQL for Mumbai (Goregaon East) location. Overview: ​ Do you have a passion for using technology to turn raw data into polished insights? Are you a wiz at transforming information into compelling visualizations? Do ,2025-03-31T01:26:06Z
data analyst,Mumbai,Data Analyst - Senior Associate PMA,TechnoServe,"Program Management Associate (PMA) would work closely with the Program Lead. She/he will be accountable for data management, data cleaning, data analysis, reviewing progress, research, and reporting internally all program communications, data management, and analytics. She/he will also be responsibl",2025-04-19T01:46:46Z
data analyst,Mumbai,Lead Specialist - Data Analyst(SQL),Marsh McLennan,"We are seeking a highly skilled SQL Expert to join our Metrics Reporting and Analytics team at Marsh . This role will be based out of Mumbai, India. This is a hybrid role requiring at least three days a week in the office. We will count on you to: Develop, optimise, and maintain complex SQL queries,",2025-07-20T07:57:46Z
data analyst,Mumbai,"Associate, Data Analyst, Global Financial Market",DBS Bank,"Job Purpose The job objective for the Data Analyst GFM role is to support the Treasury & Markets (T&M) data analytics capability. They will source, compile, design, and analyze T&M's structured and unstructured data into a data model framework. This will facilitate targeting potential business oppor",2025-07-13T02:28:54Z
data analyst,Mumbai,Data Analyst - People Analytics and Insights - C11,Citigroup,"People Analytics & Insights (PAI) team is part of Human Resource Department. This team is equipped to assist our clients with quick insights, dashboards, reporting resources and guides that will help deliver actionable insights and transform how the firm leverages human capital data which in turn he",2025-07-23T09:52:00Z
data analyst,Mumbai,"Finance Data Analyst - Power BI, Tableau",WPP,"WPP is the creative transformation company. We use the power of creativity to build better futures for our people, planet, clients, and communities. Working at WPP means being part of a global network of more than 100,000 talented people dedicated to doing extraordinary work for our clients. We oper",2025-06-27T03:12:52Z
data analyst,Mumbai,Data Operations Analyst,Media.net,"Kindly note that candidates who have graduated in 2022 and 2023 only will be considered for the role who are based in Mumbai, immediate joiners JD - Data Operations Analyst What is the job and team like As a Data Operations Analyst we manage business reporting of numerous teams, constantly monitor p",2023-05-20T17:39:18Z
data analyst,Mumbai,Data Research Analyst,Morningstar,"Data Research Analyst The Team : Morningstar DBRS is a global credit ratings business with about 800 employees in eight offices globally. Formed through the acquisition of DBRS by Morningstar, Inc., the credit ratings business is the fourth-largest provider of credit ratings in the world. DBRS Morni",2025-07-22T02:35:14Z
data analyst,Mumbai,Data Quality Analyst,ISS STOXX,"Let’s be BrilliantTogether ISS STOXX is actively hiring for Data Quality Analyst to join our QBIT Team (Quality Assurance Benchmarking and Independent Testing) in Mumbai ( Goregaon East), India. ISS Governance Governance offerings include objective governance research and recommendations, and end-to",2025-06-21T03:18:59Z
data analyst,Mumbai,Data Science Analyst,Fatakpay,"1. Bridging the gap between IT and the business using data analytics to assess processes, determine requirements and deliver data-driven recommendations and reports to executives and stakeholders. 2. Ability to search, extract, transform and load data from various databases, cleanse and refine data ",2024-01-15T15:12:38Z
data analyst,Mumbai,Senior Data Research Analyst,Morningstar,"The Position: Senior Data Research Analyst The Department: Managed Investment Data (MID) The Group: Morningstar is one of the largest independent sources of fund, equity, credit data and research in the world, and our advocacy for investors’ interests is the foundation of our company. We provide ind",2025-07-29T17:08:11Z
data analyst,Mumbai,Data Quality Analyst - IDQ,Marsh McLennan,Mercer Marsh Benefits Mercer Marsh Benefits is seeking candidates to support its vision of driving value to clients through data and analytics based insights. The following position is based in Mumbai. Mercer Marsh Benefits Analytics – Senior Principal Engineer / Manager - Data Quality Engineer Merc,2025-07-20T07:58:46Z
data analyst,Mumbai,MIS/Data Entry Analyst,TD Synnex,"Job Purpose: Ensuring smooth administrative support for the office Dealing with suppliers to provide the administrative support. Implementing other administrative tasks as needed and upon request. Responsibilities: Purchase office supplies, stationery, laptop, landline… Provide administrative assist",2025-07-18T02:31:18Z
business analyst,Delhi,Business Analyst,SVR,"We are looking for a Business Analyst who will be the vital link between our information technology capacity and our business objectives by supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our software product’s features. Responsibilities Def",2025-06-06T20:42:45Z
business analyst,Delhi,Business Analyst,Innefu Labs Private Limited,"As a Business Analyst with Innefu Lab, you will play a pivotal role in guiding our organization towards informed decision-making, fostering efficiency, and enhancing profitability. Collaborating closely with diverse teams, you will delve into data analysis, extract valuable insights, and formulate r",2025-06-06T20:49:26Z
business analyst,Delhi,Business Analyst,Flair Deck Consulting pvt ltd,"We are searching for a Business Analyst who will be responsible for understanding the business requirements, determine project scope, create functional specifications, and develop project plans. They will also be responsible for assessing changing needs of the business to analyze the impacts of chan",2025-06-06T20:45:35Z
business analyst,Delhi,Business Analyst,Lobmax,"Company Overview Lobmax is a leading company in the None industry. We specialize in providing innovative solutions and cutting-edge technologies to our clients. With a focus on excellence and customer satisfaction, we have established ourselves as a trusted partner in the market. Role and Responsibi",2025-06-06T20:45:43Z
business analyst,Delhi,Business Analyst,Alpha Consultants,"About Company: Alpha Consultants is a leading consulting firm in the None industry, specializing in providing business solutions and strategies to our clients. With a strong focus on innovation and delivering high-quality results, we strive to help our clients achieve sustainable growth and success.",2025-06-06T20:45:34Z
business analyst,Delhi,Business Analyst,Praveza Consultancy Private Limited,"Role- Business Analyst Location- Jasola vihar, Pocket-1, Plot No – 70, New Delhi - 110025 Budget- 30-40k Company -ZN Softech Exp -1 -3 years Business Analyst Review, analyze and evaluate business systems and user needs. Document requirements, define scope and objectives and formulate systems to para",2023-07-18T11:37:05Z
business analyst,Delhi,Business Analyst,Unnati,"Do you wish to be a part of a disruptive team, passionate towards democratizing education for students across India? Then read more. Our client is an expert in education financing and counselling related to higher studies abroad. They help students to understand about scholarships in various college",2022-03-01T04:54:07Z
business analyst,Delhi,Business Analyst,JK Fenner  Ltd,"J.K. Fenner (India) Limited is looking for a Business Analyst - Auto After Market Division based out in New Delhi. People who are interested, based out of other locations like Ghaziabad, Gurgaon, Noida and other NCR locations can apply for this role. Who we are: J.K. Fenner (India) Limited is a part",2025-07-14T09:35:45Z
business analyst,Delhi,Business Analyst,,"Job description Role Title : Technical Business Analyst Experience : 3 to 6 Years Role purpose Responsible for managing a program of work to drive changes to the Online Shop in the delivery of small, medium & large scale project assignments with in time and budget constraints. These projects are typ",2024-05-10T07:39:08Z
business analyst,Delhi,Business Analyst,The Talent Keepers,"Interpret data, analyze results using statistical techniques and provide ongoing reports  Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality  Acquire data from primary or secondary data sources and maintain",2022-09-23T06:58:19Z
business analyst,Delhi,Business Analyst,Unnati,"Want an opportunity to grow with one of the nation's largest manufacturing company? If you are ready to take the next step in your career, join hands with our client for this great opportunity Our client is a producer of superior quality products. Our client is the largest single location manufactur",2022-05-28T06:10:44Z
business analyst,Delhi,Business Analyst,VML Enterprise Solutions,"Who We Are: At VML, we are a beacon of innovation and growth in an ever-evolving world. Our heritage is built upon a century of combined expertise, where creativity meets technology, and diverse perspectives ignite inspiration. With the merger of VMLY&R and Wunderman Thompson, we have forged a new p",2025-06-15T02:53:39Z
business analyst,Delhi,Business Analyst,ResMed India,"Join the ResMed Sleep and Respiratory Care Team today! ResMed is a global leader in connected devices and digital health. We help millions of people sleep, breathe and live better lives. Are you ready to help fuel our growth? As ResMed continues to evolve with the future of healthcare, our customer-",2025-07-23T02:39:52Z
business analyst,Delhi,Business Analyst,Infibeam Avenues Limited,"Must have atotal experience of minimum 5 years of which 2 years should be into E-commerce. Critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distin",2024-08-14T11:10:08Z
business analyst,Delhi,Business Analyst,Seventh Triangle Consulting Private Limited,Job description Defining business requirements and reporting them back to stakeholders Understanding tasks and creating BRDs(Business Requirement Documentation) Creating Functional Specification Documents Understanding requirements as communicated by business stakeholders Understanding stakeholder b,2022-12-15T06:13:35Z
business analyst,Delhi,Business Analyst,MAW Media Pvt Ltd,ConversionX is group company of Maw Media specializing in Digital Performance Marketing services and helps leading clients specifically in their e-commerce marketing activities. ConversionX has founders who are serial entrepreneurs and have rich experience of 10 years in the digital and e-commerce d,2019-06-05T21:12:21Z
business analyst,Delhi,Sr. Business Analyst,CATFISH,"We are looking for a Business Analyst who will be the vital link between our information technology capacity and our business objectives by supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our software product’s features. Responsibilities Def",2025-07-21T01:03:39Z
business analyst,Delhi,Business Analyst (Functional),ALIQAN Technologies,"Job Title : Business Analyst (Functional) Experience : 5 years Location : Remote Contract Duration : 6 months (extendable) Role Overview : We are seeking a skilled Business/Functional Analyst with expertise in IFS Cloud ERP systems. This role involves assessing, configuring, and optimizing ERP modul",2025-07-03T20:36:55Z
business analyst,Delhi,Business Analyst/Project Manager,Gigmo Solutions,"About us: Gigmo Solutions Pvt. Ltd is a fast-growing organization with global experience in the Information Technology and Services industry. We have a presence in several countries across the Americas, Europe, Africa, and Asia. With expertise in languages such as Spanish, Portuguese, French, Italia",2025-06-06T20:45:39Z
business analyst,Delhi,ServiceNow ITSM Business Analyst,NTT DATA Services,"Req ID: 334486 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a ServiceNow ITSM Business Analyst to join our team in Delhi,",2025-08-01T04:34:51Z
business analyst,Delhi,Business Analyst Big 4,Impetus Career Consultants,Role Business Analyst Location Delhi NCR Shift UK Shift Hybrid Role What will your day look like Collaborate with stakeholders to gather detailed business requirements and document them comprehensively Conduct analysis to identify gaps between current processes and target state functionality Assist ,2025-08-01T00:36:23Z
business analyst,Delhi,Remote Business Analyst - 39585,Turing,"About Turing: Turing is one of the world’s fastest-growing AI companies accelerating the advancement and deployment of powerful AI systems. Turing helps customers in two ways: Working with the world’s leading AI labs to advance frontier model capabilities in thinking, reasoning, coding, agentic beha",2025-08-01T18:34:42Z
business analyst,Delhi,Remote Business Analyst - 20929,Turing,"A leading US-based company is looking for candidates with strong analytical and English comprehension skills. The ideal candidate should have the ability to read, summarize, and break down large content into smaller logical blocks, conduct research online, validate claims made in the content through",2025-08-01T22:17:34Z
business analyst,Delhi,Business Analyst [T500-19284],Careem,"About Careem: Careem is the internet platform for the greater Middle East region. A pioneer of the region's ride-hailing economy, Careem is expanding services across its platform to include mass transportation, delivery and payments to become the region's everyday SuperApp. Careem's mission is to si",2025-07-26T08:48:23Z
business analyst,Delhi,Business Analyst | Blockchain Experience required,Teblox Labs,"Responsibilities: Collaborate with stakeholders to understand business objectives, processes, and requirements. Conduct thorough analysis of business processes, workflows, and systems to identify areas for improvement. Gather, document, and prioritize business requirements using techniques such as i",2024-04-06T18:05:34Z
business analyst,Delhi,Business Analyst - Information Technology - Noida - Sector 51 - MM,Tata Capital,"Description The role is to frontend all the business requirements discussion with all the stakeholders - Vendors, Business users and internal IT team members and drive to achieve the business objective within defined timelines and cost. Work closely with the different Business Segment Managers to un",2024-07-31T03:21:38Z
business analyst,Delhi,Senior Business System Analyst,StoneX India,"About us- StoneX , was founded in 2003 as a partnership firm. In recent years, StoneX has forayed into an art-driven luxury lifestyle brand, focused on delivering enriching experiences. Challenging conventions, it merges artistic expression with exceptional craftsmanship, offering over 700 varieties",2025-07-07T09:14:22Z
business analyst,Delhi,Patent Analyst and business development,IP TRACTUS,"Company Description IP TRACTUS is a leading intellectual property (IP) firm specializing in a diverse range of IP services worldwide. We are dedicated to protecting innovative ideas and creative works. Our comprehensive services include patents, trademarks, industrial designs, copyrights, and plant ",2025-05-15T08:06:27Z
business analyst,Delhi,Resume Writer - IT,Serigor Inc.,"Job Description: The job reports to our US based company, Serigor Inc. an IT Services, and IT Staffing firm. We are looking for an experienced Resume Writer to support our IT Staffing team to submit well-groomed and tailored resumes matching the job descriptions to our clients. As an IT Resume Write",2023-03-17T20:10:54Z
business analyst,Delhi,Resume Writer - IT,Serigor,"Job Description: The job reports to our US based company, Serigor Inc. an IT Services, and IT Staffing firm. We are looking for an experienced Resume Writer to support our IT Staffing team to submit well-groomed and tailored resumes matching the job descriptions to our clients. As an IT Resume Write",2024-07-31T03:13:41Z
business analyst,Delhi,Fresher Internship TraineeLive project trainee,Guidance Placement Hiring For,Dear Candidate We are excited to announce urgent openings for both freshers and experienced professionals in various fields If you are interested in a live project trainee or internship opportunity we invite you to apply Below are the details Web Developer Web Designing Software Developer SEO Digita,2025-06-18T20:24:21Z
business analyst,Delhi,Azure Data Engineer,Alpha Consultants,"About Company: Alpha Consultants is a leading consulting firm in the None industry, providing innovative solutions to clients across various sectors. With a team of highly skilled professionals, we specialize in delivering cutting-edge data engineering solutions on the Microsoft Azure platform. Role",2025-06-06T20:45:33Z
business analyst,Delhi,Tally Developer (WFH & WFO),MIS Work India Pvt Ltd,"Job Description: As a Tally Developer, your main responsibility will be to develop custom solutions in Tally using TDL as per the customer requirements. You will work closely with clients, business analysts, Senior developers, and other stakeholders to understand their requirements and translate the",2025-04-30T06:41:06Z
business analyst,Delhi,Chief of staff and Brand Insights,Qrata,"You will work directly with the two co-founders in helping the company to achieve its strategic and operational goals, by delivering key internal and external projects that are critical to the success of the company You will own the creation of all external facing material produced by the CEO Office",2024-01-07T15:08:22Z
business analyst,Delhi,Database Engineer,Nguyen Van A,"We are looking for a highly skilled Database Engineer with a passion for designing, implementing, and maintaining efficient and reliable database systems. The ideal candidate will have a strong technical background in database design, development, and administration, as well as excellent problem-sol",2025-06-06T20:43:02Z
business analyst,Delhi,Business Development Manager,Suntec Web Services Private Limited,Asst Manager Manager Business Development eCommerce Role Responsibilities Extensive experience working in international market like US UK Singapore Middle Eastern countries Europe to generate new business opportunities for the companys eComm division and building partners relation outside India Pion,2025-07-15T00:37:53Z
business analyst,Delhi,Camunda Developer Wipro Pan India,Wroots Global Private Limited,Immediate to 45 days of notice period is preferred Design and implement business process workflows using Camunda platform including BPMN CMMN and DMN models Develop microservicesbased architecture for integrating Camunda 8 workflows into enterprise systems Work with Java to implement custom service ,2025-07-29T00:45:41Z
business analyst,Delhi,CEO-BlockChain Web3.0 Client,Scrabble,"Hiring for Blockchain Web3.0 deep tech organization The Role You will be responsible for : Generating IT budget in conjunction with other stake holders. Managing overall IT operations ranging from infrastructure to application. Managing day-to-day stakeholder interaction, identifying needs and evalu",2025-03-06T18:51:33Z
business analyst,Delhi,IT Project Coordinator 6 Months to 2 Years,DreamSol TeleSolutions Private Limited,As an IT Project Coordinator at DreamSol TeleSolutions Pvt Ltd your primary responsibility will be to manage the smooth project implementation life cycle This includes planning project stages assessing the business implications for each stage monitoring progress ensuring costs timescales and quality,2025-07-15T00:37:52Z
business analyst,Delhi,"Analyst, Specialist, Business Legal, Legal, Compliance & Secretariat",DBS Bank,"Business Function: Group Legal, Compliance & Secretariat ensures that the bank's interests are protected by zealously guarding and enhancing its reputation and capital. We also work to maintain a good standing with all our regulators, customers, and business partners. Because we believe that at the ",2025-06-02T02:02:37Z
business analyst,Delhi,Manual Tester - Functional Banking Domain-3 Years,Cortex Consultants,Job Title: Manual Tester - Functional Banking Domain Experience: 3-5 Years Location: Central Delhi Interview Mode: Face-to-Face Joining: Immediate Job Description: We are seeking a Manual Tester with experience in the Functional Banking Domain to join our dynamic team in Central Delhi . The ideal ca,2025-06-06T20:52:35Z
business analyst,Delhi,Senior Front End Developer,WWWNEXTLEAPADVISORYCOM,"Key Responsibilities: Participate in full project life cycle (including requirement analysis, system design, development, and support if required). Partner with Project Managers, Business Analysts, and other developers to plan project work by providing estimates, risk analysis, technical options. Su",2021-05-24T12:37:04Z
business analyst,Delhi,Java Developer,Optume IT Solutions,"We are currently looking for an outstanding Full Stack Developer for our technology products as well as for our public-facing websites. This position requires a mix of design, development and collaborative skills. Our existing stack consists of AngularJS, Java, spring boot, Hibernate, Rest Webservic",2019-05-17T21:02:47Z
